Agentes del Seguro que aceptan Jubilados y Pensionados.
Listado descargado el día 24-11-2024 22:47

rnos	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	jubilados	e_mail	web	
505	OBRA SOCIAL DE CAPITANES, PILOTOS Y PATRONES DE PESCA                                                                                                                                                   	OSPESCA           	AVDA JUAN B. JUSTO 518                            	7600	BUENOS AIRES                  	                    	Propia actividad    	ospesca@capitanesdepesca.org.ar	www.capitanesdepesca.org.ar
703	MUTUAL DEL PERSONAL DEL AGUA Y LA ENERGIA  DE MENDOZA                                                                                                                                                   	                  	AVDA. JOSE VICENTE ZAPATA  Nº 144                 	5500	MENDOZA                       	                    	Propia actividad    	mutualaye@mutualaye.com.ar
901	 OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS, CAPITALIZACION Y AHORRO Y PRESTAMO PARA LA VIVIENDA                                                                                                	OSSEG             	PELLEGRINI 575                                    	1009	CAPITAL FEDERAL               	0800-666-7734       	Propia actividad    	informacion@osseg.org.ar	www.osseg.org.ar
1300	OBRA SOCIAL FERROVIARIA                                                                                                                                                                                 	OSFE              	ESTADOS UNIDOS 2859                               	1227	CAPITAL FEDERAL               	0800-333-3313       	Propia actividad    	info@osferroviaria.org.ar	www.osfe.org.ar
1706	OBRA SOCIAL DEL PERSONAL JERARQUICO DE LA REPUBLICA ARGENTINA PARA EL PERSONAL JERARQUICO DE LA INDUSTRIA GRAFICA Y EL PERSONAL JERARQUICO DEL AGUA Y LA ENERGIA                                        	OSJERA            	MORENO 1142 PLANTA BAJA                           	1091	CAPITAL FEDERAL               	0810-345-6753       	Propia actividad    	central@ospjera.com.ar	www.osjera.com.ar
2204	OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO  DE LA ACTIVIDAD DEL  NEUMATICO ARGENTINO DE NEUMATICOS GOOD YEAR SRL                                                                                    	                  	MANUEL OCAMPO 1201                                	1686	BUENOS AIRES                  	0800-333-2820       	Propia actividad    	DIR MED DR.FERNANDO A SAN CRISTOBAL (MN	www.osejana.com.ar
2709	OBRA SOCIAL DE LOS TRABAJADORES ASOCIADOS A LA ASOCIACION MUTUAL MERCANTIL ARGENTINA                                                                                                                    	OSTAMMA           	AV. SABATTINI 93                                  	5900	CORDOBA                       	0800-77702662       	Propia actividad    	ostamma@amma.org.ar	www.ostamma.org.ar
3108	OBRA SOCIAL DE LOS INMIGRANTES ESPAÑOLES Y SUS DESCENDIENTES RESIDENTES EN LA REPUBLICA ARGENTINA                                                                                                       	OSPAÑA            	VENEZUELA 1162 PB                                 	1095	CAPITAL FEDERAL               	0800-999-0000       	Cualquier actividad 	ricciardi@ospana.com.ar	www.ospana.com.ar
3207	OBRA SOCIAL DE TRABAJADORES SOCIOS DE LA ASOCIACION MUTUAL DEL PERSONAL JERARQUICO DE BANCOS OFICIALES NACIONALES-JERARQUICOS SALUD-                                                                    	                  	AV FACUNDO ZUVIRIA 4584                           	3000	SANTA FE                      	0800-555-4844       	Propia actividad    	obrasocialpmo@jerarquicossalud.com.ar	www.jerarquicos.com
4002	OBRA SOCIAL PARA EMPLEADOS Y PRODUCTORES DE ENTIDADES DE LA ACTIVIDAD AGROPECUARIA Y AGROALIMENTARIA DE LA ECONOMIA SOCIAL                                                                              	                  	CORRIENTES 878 - 4º PISO                          	1043	CAPITAL FEDERAL               	                    	Propia actividad    	atención@ospedeaa.com.ar
100106	OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES                                                                                                                             	OSIAD             	AVDA. BELGRANO 1370  PISO 2                       	1093	CAPITAL FEDERAL               	0810-345-6742       	Propia actividad    	info@osiadsalud.org.ar
100205	OBRA SOCIAL DE ACTORES                                                                                                                                                                                  	OSA               	AYACUCHO 537                                      	1025	CAPITAL FEDERAL               	0-800-999-0301      	Propia actividad    		www.osa.org.ar
